Ticker,Name,Industry,Dividend Yield,Dividend Safety
NUS,Nu Skin Enterprises,Personal Care Products,9.08%,Unsafe
WHR,Whirlpool,Household Appliances,6.42%,Borderline Safe
HAS,Hasbro,Leisure Products,5.84%,Borderline Safe
HBNC,Horizon Bancorp,Regional Banks,5.53%,
ABM,ABM Industries Incorporated,Environmental and Facilities Services,2.07%,Safe
ABT,Abbott Laboratories,Health Care Equipment,1.95%,Very Safe
ACN,Accenture,IT Consulting and Other Services,1.52%,Very Safe
ADI,Analog Devices,Semiconductors,1.88%,Safe
THFF,First Financial Corporation,Regional Banks,4.51%,
ADM,Archer-Daniels-Midland,Agricultural Products and Services,2.44%,Very Safe
PNC,PNC Financial Services,Diversified Banks,4.42%,Borderline Safe
SMG,Scotts Miracle-Gro,Fertilizers and Agricultural Chemicals,4.34%,Borderline Safe
IFF,International Flavors & Fragrances,Specialty Chemicals,4.30%,Borderline Safe
CATC,Cambridge Bancorp,Regional Banks,4.26%,
PLOW,Douglas Dynamics,Construction Machinery and Heavy Transportation Equipment,4.21%,Borderline Safe
ADP,Automatic Data Processing,Human Resource and Employment Services,2.40%,Very Safe
TMP,Tompkins Financial Corporation,Regional Banks,4.17%,Borderline Safe
TRN,Trinity Industries,Construction Machinery and Heavy Transportation Equipment,4.03%,Borderline Safe
AUB,Atlantic Union Bankshares Corporation,Regional Banks,3.99%,
HMN,Horace Mann Educators Corporation,Multi-line Insurance,3.95%,
AFG,American Financial,Property and Casualty Insurance,2.44%,Safe
AFL,Aflac,Life and Health Insurance,2.42%,Very Safe
AIT,Applied Industrial Technologies,Trading Companies and Distributors,0.84%,Safe
AIZ,Assurant,Multi-line Insurance,1.68%,Safe
CNS,Cohen & Steers,Asset Management and Custody Banks,3.74%,Borderline Safe
STT,State Street,Asset Management and Custody Banks,3.74%,Borderline Safe
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,0.90%,Very Safe
ALB,Albemarle,Specialty Chemicals,1.35%,Very Safe
ALL,Allstate,Property and Casualty Insurance,2.56%,Safe
MNRO,Monro,Automotive Retail,3.70%,
INDB,Independent Bank Corp.,Regional Banks,3.65%,
AMP,Ameriprise Financial,Asset Management and Custody Banks,1.53%,Very Safe
