Symbol,Company Name,Market Cap,Industry,Sector,SBC / Revenue,FCF - SBC,
GS,"The Goldman Sachs Group, Inc.",109.75B,Capital Markets,Financials,5.01%,-1.45B,
VRTX,Vertex Pharmaceuticals Incorporated,90.16B,Biotechnology,Healthcare,5.01%,3.72B,
ANET,"Arista Networks, Inc.",68.61B,Computer Hardware,Technology,5.01%,1.23B,
KKR,KKR & Co. Inc.,79.03B,Asset Management,Financials,5.15%,-4.00B,
EQIX,"Equinix, Inc.",74.77B,REIT - Specialty,Real Estate,5.15%,-406.05M,
RKT,"Rocket Companies, Inc.",17.92B,Mortgage Finance,Financials,5.36%,-323.36M,
UBER,"Uber Technologies, Inc.",115.79B,Software - Application,Technology,5.42%,343.00M,
EBAY,eBay Inc.,21.52B,Internet Retail,Consumer Discretionary,5.51%,1.95B,
TYL,"Tyler Technologies, Inc.",17.34B,Software - Application,Technology,5.51%,201.87M,
NTAP,"NetApp, Inc.",16.40B,Computer Hardware,Technology,5.69%,683.00M,
ARES,Ares Management Corporation,33.64B,Asset Management,Financials,5.70%,-115.69M,
INCY,Incyte Corporation,11.80B,Biotechnology,Healthcare,5.78%,372.35M,
SQ,"Block, Inc.",36.99B,Software - Infrastructure,Technology,5.87%,-425.31M,
AMD,"Advanced Micro Devices, Inc.",199.15B,Semiconductors,Technology,5.99%,-3.00M,
INTC,Intel Corporation,187.09B,Semiconductors,Technology,5.99%,-13.37B,
AVGO,Broadcom Inc.,506.14B,Semiconductors,Technology,6.06%,15.46B,
TTWO,"Take-Two Interactive Software, Inc.",26.76B,Electronic Gaming & Multimedia,Communication Services,6.16%,-584.30M,
BSY,"Bentley Systems, Incorporated",15.37B,Software - Application,Technology,6.64%,261.36M,
REGN,"Regeneron Pharmaceuticals, Inc.",85.23B,Biotechnology,Healthcare,6.69%,3.73B,
QCOM,QUALCOMM Incorporated,143.29B,Semiconductors,Technology,6.93%,7.49B,
GDDY,GoDaddy Inc.,13.53B,Software - Infrastructure,Technology,7.12%,604.10M,
ORCL,Oracle Corporation,318.44B,Software - Infrastructure,Technology,7.15%,5.81B,
CG,The Carlyle Group Inc.,11.79B,Asset Management,Financials,7.31%,-436.70M,
NVDA,NVIDIA Corporation,"1,195.91B",Semiconductors,Technology,7.34%,14.22B,
GOOGL,Alphabet Inc.,"1,719.93B",Internet Content & Information,Communication Services,7.37%,55.72B,
GOOG,Alphabet Inc.,"1,719.83B",Internet Content & Information,Communication Services,7.37%,55.72B,
PAYC,"Paycom Software, Inc.",10.17B,Software - Application,Technology,7.39%,182.28M,
EA,Electronic Arts Inc.,36.99B,Electronic Gaming & Multimedia,Communication Services,7.48%,1.45B,
MANH,"Manhattan Associates, Inc.",13.84B,Software - Application,Technology,7.74%,139.14M,
MPWR,"Monolithic Power Systems, Inc.",26.41B,Semiconductors,Technology,7.87%,336.62M,
AKAM,"Akamai Technologies, Inc.",17.19B,Software - Infrastructure,Technology,7.87%,299.09M,
CDNS,"Cadence Design Systems, Inc.",74.17B,Software - Application,Technology,7.96%,922.99M,
AZPN,"Aspen Technology, Inc.",11.80B,Software - Application,Technology,8.04%,220.84M,
ENPH,"Enphase Energy, Inc.",13.41B,Solar,Technology,8.16%,587.01M,
FICO,Fair Isaac Corporation,26.67B,Software - Application,Technology,8.18%,340.83M,
ISRG,"Intuitive Surgical, Inc.",110.55B,Medical Instruments & Supplies,Healthcare,8.32%,687.00M,
FFIV,"F5, Inc.",10.05B,Software - Infrastructure,Technology,8.41%,362.58M,
CRM,"Salesforce, Inc.",219.33B,Software - Application,Technology,8.61%,5.89B,
BMRN,BioMarin Pharmaceutical Inc.,16.76B,Biotechnology,Healthcare,8.61%,-170.55M,
